,Hotel,Link_hotel
48,Alila Villas Uluwatu,https://www.virginlimitededition.com/en/kasbah-tamadot?utm_medium=googlebusiness-websitelink&utm_source=googlebusiness-kasbahtamadot&utm_campaign=kasbahtamadot-home
49,Manoir Hovey,http://www.nayaratentedcamp.com/
50,Six Senses Con Dao,https://www.tripadvisor.com/Commerce?p=TABAIndependentHotels&src=0&geo=1929892&from=Hotel_Review&area=&slot=1&matchID=1&oos=0&cnt=1&silo=30356&bucket=875171&ubucket=875171&nrank=1&crank=1&clt=CLD&tm=256046342&managed=false&capped=false&gosox=5_3Y6UYwwGjgw_c7hEwIkaTleyty1qIGoxSRuQOs7Khy5R-cwQ-ChA-aLvNZUYbV57T1vjUKZmxzQmh137vjtg&adults=2&child_rm_ages=&inDay=19&outDay=20&rooms=1&inMonth=2&inYear=2023&outMonth=2&outYear=2023&def_d=true&bapid=1&cs=1ed0bdab206d99b7ed21bd0650eb855f1&ba_uid=67655508-ff6d-4fa3-a32f-9e0ad32b2c8c
51,Cavas Wine Lodge,https://www.belmond.com/safaris/africa/botswana/belmond-savute-elephant-lodge/?utm_source=local_search&utm_medium=link&utm_campaign=google_business
52,Grand Hotel Tremezzo,https://www.mandarinoriental.com/en/milan/la-scala?src=loc.local_listing.momln.ggl
53,Nayara Springs,http://www.lareserve-paris.com/en/?utm_source=google&utm_medium=local&utm_campaign=la-reserve-paris
54,Lodge on Little St. Simons Island,https://malibu.nobuhotels.com/
55,Rancho Santana,https://www.tripadvisor.com/Commerce?p=TABAIndependentHotels&src=0&geo=1462017&from=Hotel_Review&area=&slot=2&matchID=1&oos=0&cnt=1&silo=30356&bucket=875171&ubucket=875171&nrank=1&crank=1&clt=CLD&tm=256046635&managed=false&capped=false&gosox=5_3Y6UYwwGjgw_c7hEwIkQJwO9qXittalDBRLxTh6tuOh4BTOFr3HA_BKUokarJb8ZcNFgowYlLvQPnOKQPobw&adults=2&child_rm_ages=&inDay=19&outDay=20&rooms=1&inMonth=2&inYear=2023&outMonth=2&outYear=2023&def_d=true&bapid=2&cs=1fe548d3bed9a9117b8e936a769df7c1b&ba_uid=1ab4f479-9e19-4aee-af5b-e236d2cd1787
56,Amanpuri,https://www.tripadvisor.com/Commerce?p=TABAIndependentHotels&src=0&geo=305200&from=Hotel_Review&area=&slot=1&matchID=1&oos=0&cnt=1&silo=30356&bucket=875171&ubucket=875171&nrank=1&crank=1&clt=CLD&tm=256046682&managed=false&capped=false&gosox=5_3Y6UYwwGjgw_c7hEwIkcfjnStXzKi4bkBBxKp-FZ63K35voCD50I7yWGDi0BvzCrPNUXGo8yZy0aBUT7Y4oQ&adults=2&child_rm_ages=&inDay=21&outDay=22&rooms=1&inMonth=2&inYear=2023&outMonth=2&outYear=2023&def_d=true&bapid=1&cs=1d863230919599924f38fdebb7a938db0&ba_uid=6fb97156-783a-4962-81c6-89e3a3bd2e6f
57,Mandarin Oriental Marrakech,http://www.fasano.com.br/
58,Namale Resort & Spa,https://www.okinawa.halekulani.com/
59,Gibb's Farm,http://www.nayaragardens.com/
60,Jade Mountain,https://www.tripadvisor.com/Commerce?p=TABAIndependentHotels&src=0&geo=623374&from=Hotel_Review&area=&slot=1&matchID=1&oos=0&cnt=1&silo=30356&bucket=875171&ubucket=875171&nrank=1&crank=1&clt=CLD&tm=256046915&managed=false&capped=false&gosox=5_3Y6UYwwGjgw_c7hEwIkcqpaVwDJ1C0UDeHINGz7nBVonA8Est-E77q9dfT5aP1sxA2wRGQvr4degUv1C0G2g&adults=2&child_rm_ages=&inDay=3&outDay=4&rooms=1&inMonth=4&inYear=2023&outMonth=4&outYear=2023&def_d=true&bapid=1&cs=19c966a22d2420252405bd4c40e1b58bf&ba_uid=db8862f2-35de-4c24-aa5c-636ef555ff9b
61,Borgo Egnazia,https://tierrahotels.com/atacama/
62,Four Seasons Hotel Kyoto,https://www.tripadvisor.com/Commerce?p=TABAIndependentHotels&src=0&geo=10532611&from=Hotel_Review&area=&slot=2&matchID=1&oos=0&cnt=1&silo=30356&bucket=875171&ubucket=875171&nrank=1&crank=1&clt=CLD&tm=256047025&managed=false&capped=false&gosox=5_3Y6UYwwGjgw_c7hEwIkYqktBqr69wl_Ao4E62f213DndjiMaKkpgiiK6dM_jLs1KweB0IPsAYKw1K3y1TALA&adults=2&child_rm_ages=&inDay=19&outDay=20&rooms=1&inMonth=2&inYear=2023&outMonth=2&outYear=2023&def_d=true&bapid=2&cs=1839dd157a54d474e8734c919b21be5b8&ba_uid=3411f3b5-22a0-4225-b760-990e03a79d59
63,San Ysidro Ranch,https://www.katikies.com/katikiesmykonos/
64,The Goring,https://www.tripadvisor.com/Commerce?p=TABAIndependentHotels&src=0&geo=214516&from=Hotel_Review&area=&slot=1&matchID=1&oos=0&cnt=1&silo=30356&bucket=875171&ubucket=875171&nrank=1&crank=1&clt=CLD&tm=256047136&managed=false&capped=false&gosox=5_3Y6UYwwGjgw_c7hEwIkfsUGMdNoNQMxWmenaHQ1ITrdMK7dwSOVMthLEWvGOrxDdGFeN4pHv_ZjM63QUciqw&adults=2&child_rm_ages=&inDay=19&outDay=20&rooms=1&inMonth=2&inYear=2023&outMonth=2&outYear=2023&def_d=true&bapid=1&cs=1999acc4a9ff50fe36a3b462de4d1eea7&ba_uid=ebb10a62-c5fc-484d-ac66-d30896b661a8
65,The Oberoi Rajvilas,https://www.tripadvisor.com/Commerce?p=TABAIndependentHotels&src=0&geo=302892&from=Hotel_Review&area=&slot=2&matchID=1&oos=0&cnt=1&silo=30356&bucket=875171&ubucket=875171&nrank=1&crank=1&clt=CLD&tm=256047187&managed=false&capped=false&gosox=5_3Y6UYwwGjgw_c7hEwIkRjj5lR7O6XIuukQ37VTG-KfHzWvo1a8PWg9qgYsWKxVDUVstGc2vJEjXjMpCm32ug&adults=2&child_rm_ages=&inDay=20&outDay=21&rooms=1&inMonth=2&inYear=2023&outMonth=2&outYear=2023&def_d=true&bapid=2&cs=1ff1ca1d8c867b68f6f3575117a2acbf2&ba_uid=8387b760-d857-4d20-aea3-372367779b9b
